Namespace(adv_steps=5, att_size=64, batch_size=256, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='APY', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=32, dis_hu=4096, nepoch=100, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=20, nz=64, outf='./checkpoint/', outname='apy', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=2, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=1400, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  9825
# of training samples:  5932
MLP_G(
  (fc1): Linear(in_features=128, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2112, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=20)
  (relu): ReLU(inplace)
)
EPOCH          |  D_cost  |  G_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 44 /100 ]    |  0.9842  |  0.7543  |    0.2524    |   0.5469   | 0.3454  |
[ 45 /100 ]    |  0.9800  |  0.7314  |    0.2852    |   0.6060   | 0.3879  |
[ 46 /100 ]    |  0.9764  |  0.7732  |    0.2965    |   0.5427   | 0.3835  |
[ 47 /100 ]    |  0.9513  |  0.7440  |    0.3157    |   0.5606   | 0.4039  |
[ 48 /100 ]    |  1.0005  |  0.7469  |    0.2818    |   0.5413   | 0.3707  |
[ 49 /100 ]    |  0.9856  |  0.7608  |    0.2334    |   0.5855   | 0.3338  |
[ 50 /100 ]    |  0.9919  |  0.7881  |    0.2547    |   0.6100   | 0.3594  |
[ 51 /100 ]    |  0.9747  |  0.7632  |    0.2779    |   0.6036   | 0.3806  |
[ 52 /100 ]    |  0.9676  |  0.7194  |    0.3050    |   0.5406   | 0.3900  |
[ 53 /100 ]    |  0.9760  |  0.7573  |    0.2645    |   0.5995   | 0.3670  |
[ 54 /100 ]    |  0.9481  |  0.7282  |    0.3071    |   0.5854   | 0.4028  |
[ 55 /100 ]    |  0.9653  |  0.7548  |    0.3221    |   0.4722   | 0.3830  |
[ 56 /100 ]    |  0.9596  |  0.7704  |    0.2932    |   0.6104   | 0.3961  |
[ 57 /100 ]    |  0.9373  |  0.7556  |    0.2483    |   0.6016   | 0.3516  |
[ 58 /100 ]    |  0.9541  |  0.7615  |    0.2742    |   0.6081   | 0.3780  |
[ 59 /100 ]    |  0.9494  |  0.7154  |    0.2830    |   0.5817   | 0.3807  |
[ 60 /100 ]    |  0.9433  |  0.7323  |    0.3030    |   0.6067   | 0.4041  |
[ 61 /100 ]    |  0.9531  |  0.7003  |    0.2829    |   0.5352   | 0.3701  |
[ 62 /100 ]    |  0.9373  |  0.7006  |    0.3093    |   0.5419   | 0.3938  |
[ 63 /100 ]    |  0.9590  |  0.7213  |    0.2710    |   0.6207   | 0.3772  |
[ 64 /100 ]    |  0.9407  |  0.7145  |    0.2900    |   0.6300   | 0.3971  |
[ 65 /100 ]    |  0.9340  |  0.7062  |    0.2788    |   0.5386   | 0.3674  |
[ 66 /100 ]    |  0.9317  |  0.7548  |    0.2914    |   0.5318   | 0.3765  |
[ 67 /100 ]    |  0.9175  |  0.7271  |    0.3042    |   0.5405   | 0.3893  |
[ 68 /100 ]    |  0.9259  |  0.7541  |    0.2700    |   0.5975   | 0.3719  |
[ 69 /100 ]    |  0.9163  |  0.7523  |    0.3151    |   0.5352   | 0.3967  |
[ 70 /100 ]    |  0.8991  |  0.7442  |    0.2839    |   0.5892   | 0.3832  |
[ 71 /100 ]    |  0.9267  |  0.7160  |    0.2792    |   0.6222   | 0.3855  |
[ 72 /100 ]    |  0.9379  |  0.7138  |    0.2737    |   0.5800   | 0.3719  |
[ 73 /100 ]    |  0.9216  |  0.7479  |    0.3046    |   0.5260   | 0.3858  |
[ 74 /100 ]    |  0.9182  |  0.7227  |    0.2859    |   0.5881   | 0.3848  |
[ 75 /100 ]    |  0.9095  |  0.7380  |    0.2886    |   0.5892   | 0.3875  |
[ 76 /100 ]    |  0.8901  |  0.7454  |    0.2719    |   0.5824   | 0.3707  |
[ 77 /100 ]    |  0.9194  |  0.7419  |    0.3031    |   0.5825   | 0.3987  |
[ 78 /100 ]    |  0.9262  |  0.7333  |    0.2682    |   0.6302   | 0.3763  |
[ 79 /100 ]    |  0.9165  |  0.7244  |    0.2780    |   0.5368   | 0.3662  |
[ 80 /100 ]    |  0.9004  |  0.7275  |    0.2958    |   0.5784   | 0.3914  |
[ 81 /100 ]    |  0.9118  |  0.7148  |    0.2805    |   0.5459   | 0.3706  |
[ 82 /100 ]    |  0.9009  |  0.7594  |    0.3102    |   0.5302   | 0.3914  |
[ 83 /100 ]    |  0.9047  |  0.6897  |    0.2952    |   0.5796   | 0.3911  |
[ 84 /100 ]    |  0.8957  |  0.7225  |    0.2800    |   0.5933   | 0.3804  |
[ 85 /100 ]    |  0.9259  |  0.7309  |    0.2633    |   0.6214   | 0.3699  |
[ 86 /100 ]    |  0.9132  |  0.7207  |    0.2969    |   0.5640   | 0.3890  |
[ 87 /100 ]    |  0.9130  |  0.7353  |    0.2638    |   0.6257   | 0.3711  |
[ 88 /100 ]    |  0.9109  |  0.7565  |    0.2804    |   0.5785   | 0.3777  |
[ 89 /100 ]    |  0.8870  |  0.6997  |    0.2907    |   0.5900   | 0.3895  |
[ 90 /100 ]    |  0.9098  |  0.7047  |    0.2950    |   0.5832   | 0.3918  |
[ 91 /100 ]    |  0.9136  |  0.7532  |    0.3353    |   0.5292   | 0.4105  |
[ 92 /100 ]    |  0.8904  |  0.7135  |    0.3015    |   0.4426   | 0.3586  |
[ 93 /100 ]    |  0.8867  |  0.6963  |    0.2924    |   0.5837   | 0.3896  |
[ 94 /100 ]    |  0.8848  |  0.7117  |    0.2910    |   0.5610   | 0.3832  |
[ 95 /100 ]    |  0.8896  |  0.7370  |    0.2901    |   0.6177   | 0.3948  |
[ 96 /100 ]    |  0.9184  |  0.7470  |    0.2824    |   0.6127   | 0.3866  |
[ 97 /100 ]    |  0.9036  |  0.7571  |    0.2783    |   0.6150   | 0.3832  |
[ 98 /100 ]    |  0.8989  |  0.6913  |    0.2787    |   0.5667   | 0.3737  |
[ 99 /100 ]    |  0.8899  |  0.6881  |    0.2801    |   0.6147   | 0.3848  |
[100 /100 ]    |  0.9041  |  0.7439  |    0.2760    |   0.5776   | 0.3735  |
max H: 0.410535 in epoch: 91
